ec5_uuid,created_at,uploaded_at,title,lat_1_location,long_1_location,accuracy_1_location,UTM_Northing_1_location,UTM_Easting_1_location,UTM_Zone_1_location,2_Time,3_Shop_Name,4_Shop_Type,5_Distance_from_Camp,6_Crowd_Level,7_Price_Level,8_Opening_Time,9_Hygiene_Condition,10_Drinking_Water_Av,11_Waste_Disposal
78b5e88a-f4f0-4104-bc1f-fcd0cf4a502f,2026-03-24T16:23:16.000Z,2026-03-24T16:24:59.000Z,78b5e88a-f4f0-4104-bc1f-fcd0cf4a502f,18.454439,73.853338,4,2040847,378919,43Q,21:52,"Panjabi dhaba","Food Stall",Far,Medium,Medium,Evening,Poor,Yes,Available
ed1f3e3e-766b-4c04-98d8-8f04e3c054b8,2026-03-24T16:21:07.000Z,2026-03-24T16:24:54.000Z,ed1f3e3e-766b-4c04-98d8-8f04e3c054b8,18.453544,73.852894,5,2040748,378872,43Q,21:49,"Bikas mesh","Food Stall",Far,High,Medium,Morning,Good,Yes,Available
21661466-7d30-4e51-ad63-b08aed1bba3e,2026-03-24T16:19:26.000Z,2026-03-24T16:24:49.000Z,21661466-7d30-4e51-ad63-b08aed1bba3e,18.453524,73.852571,4,2040746,378837,43Q,21:48,"Delicious ice-cream","Food Stall",Far,Low,Medium,Afternoon,Good,No,Available
50012204-754c-47d3-b6b0-6641db6d9cb3,2026-03-24T16:15:13.000Z,2026-03-24T16:24:45.000Z,50012204-754c-47d3-b6b0-6641db6d9cb3,18.452018,73.85139,5,2040581,378712,43Q,21:44,"Shree youg","Food Stall",Far,Medium,High,Evening,Good,Yes,Available
63317864-d44c-413f-9239-816f1c078d57,2026-03-24T16:14:07.000Z,2026-03-24T16:24:40.000Z,63317864-d44c-413f-9239-816f1c078d57,18.452032,73.8513,4,2040582,378702,43Q,21:43,"100s burger","Tea Stall / Café",Far,Medium,High,Afternoon,Good,Yes,Available
ebf268ae-16b1-4d79-bfbe-70ca9bf19c20,2026-03-24T16:12:40.000Z,2026-03-24T16:24:35.000Z,ebf268ae-16b1-4d79-bfbe-70ca9bf19c20,18.452752,73.851089,5,2040662,378680,43Q,21:41,"Matashree thek","Tea Stall / Café",Far,Low,High,Afternoon,Good,Yes,Available
4d577bda-c876-4258-a6cc-5e94237e511d,2026-03-24T16:11:21.000Z,2026-03-24T16:24:31.000Z,4d577bda-c876-4258-a6cc-5e94237e511d,18.453161,73.851041,4,2040707,378676,43Q,21:40,"Durga cafe","Tea Stall / Café",Far,High,Medium,Morning,Average,Yes,Available
dee2fa04-59de-4193-87dd-27ad9d8015ca,2026-03-24T16:10:04.000Z,2026-03-24T16:24:26.000Z,dee2fa04-59de-4193-87dd-27ad9d8015ca,18.453885,73.85107,5,2040787,378679,43Q,21:39,"Family restaurant","Food Stall",Medium,Medium,High,Evening,Good,Yes,Available
3198b3ea-fc97-476c-b5eb-ef5a5955397e,2026-03-24T16:08:39.000Z,2026-03-24T16:24:21.000Z,3198b3ea-fc97-476c-b5eb-ef5a5955397e,18.454034,73.851044,5,2040804,378677,43Q,21:38,"Five star","Tea Stall / Café",Medium,Medium,High,Evening,Average,Yes,Available
d71b8547-09a0-43be-9a63-bc5d60896cf8,2026-03-24T16:07:26.000Z,2026-03-24T16:24:17.000Z,d71b8547-09a0-43be-9a63-bc5d60896cf8,18.454379,73.85111,4,2040842,378684,43Q,21:36,Kashuri,"Food Stall",Near,Low,Medium,Evening,Good,Yes,Available
6fd49cc0-0ca6-4271-9914-5c9aafa62672,2026-03-24T16:04:23.000Z,2026-03-24T16:24:12.000Z,6fd49cc0-0ca6-4271-9914-5c9aafa62672,18.456475,73.850906,5,2041074,378664,43Q,21:32,"Raj mata fruit stall","Fruit Shop",Medium,Medium,High,Morning,Average,No,Available
b7f484a4-f693-40a6-885a-10895827329d,2026-03-24T16:02:17.000Z,2026-03-24T16:24:07.000Z,b7f484a4-f693-40a6-885a-10895827329d,18.457115,73.850682,4,2041145,378640,43Q,21:31,"Hari ram fruit stall","Fruit Shop",Medium,Medium,High,Morning,Good,No,
4db8a9e4-f6ee-4e5e-afce-301b559fd802,2026-03-24T16:00:50.000Z,2026-03-24T16:24:03.000Z,4db8a9e4-f6ee-4e5e-afce-301b559fd802,18.457241,73.851725,5,2041158,378751,43Q,21:29,"Irani cafe","Tea Stall / Café",Near,Medium,High,Evening,Average,Yes,Available
b08a621c-a53b-4715-84a6-1c741d89bdeb,2026-03-24T15:58:42.000Z,2026-03-24T16:23:58.000Z,b08a621c-a53b-4715-84a6-1c741d89bdeb,18.457341,73.852468,8,2041169,378829,43Q,21:27,"Riche Rich","Food Stall",Near,Medium,Medium,Morning,Good,Yes,Available
b7bca9ac-a84c-48d6-a583-9a302a975f01,2026-03-24T15:57:30.000Z,2026-03-24T16:23:54.000Z,b7bca9ac-a84c-48d6-a583-9a302a975f01,18.457411,73.852456,7,2041177,378828,43Q,21:26,"Sai Prasad","Food Stall",Near,High,Medium,Morning,Good,Yes,Available
d5f45ad4-64e7-45c2-a92e-cf87315b91c3,2026-03-24T15:56:26.000Z,2026-03-24T16:23:49.000Z,d5f45ad4-64e7-45c2-a92e-cf87315b91c3,18.457446,73.853038,3,2041180,378890,43Q,21:24,"Raju uncle","Food Stall",Near,High,Medium,Morning,Poor,No,Available
f9dc0de3-9368-4fbd-b26a-58910d9603ed,2026-03-24T15:49:43.000Z,2026-03-24T16:23:44.000Z,f9dc0de3-9368-4fbd-b26a-58910d9603ed,18.457478,73.853008,4,2041184,378886,43Q,21:18,"Shreeman tea shop","Tea Stall / Café",Near,Low,Medium,Morning,Good,Yes,Available
ca8aa7e0-8c24-4ed6-bf63-c350a073b15e,2026-03-24T15:48:15.000Z,2026-03-24T16:23:40.000Z,ca8aa7e0-8c24-4ed6-bf63-c350a073b15e,18.457278,73.853196,4,2041161,378906,43Q,21:17,"Paratha House","Food Stall",Near,Medium,Medium,Morning,Average,Yes,Available
